Wall time,Step,Value
1574440860.5251093,52034,1033.453857421875
1574440860.5251687,52035,1336.141845703125
1574440860.5255911,52042,1138.9268798828125
1574440884.8673222,53000,989.49267578125
1574440884.8673606,53002,946.4222412109375
1574440884.8681443,53014,947.62939453125
1574440884.8682063,53015,1282.497314453125
1574440884.868392,53018,972.9403686523438
1574440884.8685155,53020,905.2091064453125
1574440884.8685775,53021,1100.6063232421875
1574440884.870372,53050,1001.1558837890625
1574440909.2199957,54009,1057.7095947265625
1574440909.2200634,54010,1089.2666015625
1574440909.2206297,54019,818.1849975585938
1574440909.22101,54025,1438.32763671875
1574440909.2211945,54028,986.61376953125
1574440909.221566,54034,1031.078125
1574440909.2218125,54038,1048.5538330078125
1574440933.9333768,55002,1070.3231201171875
1574440933.9334133,55004,1056.2442626953125
1574440933.9334314,55005,1216.4075927734375
1574440933.9334493,55006,1087.156982421875
1574440933.9341602,55017,1531.12060546875
1574440933.9355645,55035,932.781494140625
1574440933.9366934,55052,767.2730712890625
1574440958.8434682,56006,906.321044921875
1574440958.8434854,56007,892.974609375
1574440958.8438542,56010,1036.420166015625
1574440958.8448105,56026,1122.7313232421875
1574440958.8450468,56030,955.7900390625
1574440958.8454447,56035,1058.7393798828125
1574440958.845617,56037,872.8516845703125
1574440958.845792,56039,931.9847412109375
1574440958.8459597,56041,1175.750732421875
1574440958.8461251,56043,985.7265625
1574440958.84646,56047,1098.387939453125
1574440958.8465483,56048,967.060546875
1574440983.252105,57006,1013.620849609375
1574440983.2525163,57009,788.7198486328125
1574440983.253011,57017,691.5927124023438
1574440983.2531912,57020,938.8803100585938
1574440983.2537324,57029,1119.002197265625
1574440983.2546344,57044,1049.6773681640625
1574440983.2548728,57048,1004.192138671875
1574440983.2549927,57050,941.9698486328125
1574441008.0054576,58012,849.7020874023438
1574441008.0064754,58025,1279.9901123046875
1574441008.0082967,58048,902.7683715820312
1574441032.5579188,59010,1053.77734375
1574441032.557983,59011,1023.219482421875
1574441032.5584118,59018,899.7789306640625
1574441032.5587156,59023,1052.6158447265625
1574441032.5590243,59028,1079.526123046875
1574441032.5593247,59032,1050.477294921875
1574441032.5594501,59034,881.8229370117188
1574441032.56047,59050,947.8748168945312
1574441058.2166686,60008,983.9061279296875
1574441058.2171211,60015,1130.206787109375
1574441058.2171829,60016,1023.50439453125
1574441058.2175934,60023,984.15869140625
1574441058.2178502,60026,1007.4137573242188
1574441058.2192986,60050,930.8214721679688
1574441082.821469,61000,1227.6793212890625
1574441082.8215957,61007,1242.5048828125
1574441082.822051,61010,1137.4925537109375
1574441082.8221145,61011,1141.8858642578125
1574441082.8222368,61013,891.8740844726562
1574441082.8222976,61014,1142.219970703125
1574441082.8234973,61034,1181.098388671875
1574441082.823815,61039,937.4703369140625
1574441082.8243532,61048,979.1140747070312
1574441082.8244727,61050,983.7885131835938
1574441082.8245914,61052,599.7003173828125
